[371810    284372]
[410327    454742]
[348573    228677]
[371169    352465]
[484385    406558]
[454831    292859]
[277669    446288]
[357217    334898]
[306973    371314]
[361206    322326]
[352825    342072]
[374363    370491]
[362455    333579]
[410309    327207]
[392746    353601]
[377954    359465]
[392486    413152]
[226279    196302]
[259410    340774]
[390259    385789]
[327064    337038]
[359297    370949]
[385828    420122]
[368015    292681]
[323368    322317]
[374665    497331]
[438156    361037]
[347773    349258]
[411860    276360]
[450883    300266]
[373060    396577]
[369314    379813]
[404018    374662]
[384459    331561]
[355096    327368]
[378015    431683]
[327348    389070]
[389235    380395]
[413008    279715]
[281638    364297]
[450643    396631]
[428674    418930]
[478471    424155]
[362695    256123]
[432047    353924]
[378442    377542]
[307013    328596]
[314013    363333]
[486679    299746]
[469657    366086]
[352007    420108]
[391649    350263]
[454520    485456]
[372396    368479]
[373856    359031]
[487627    406047]
[374022    259510]
[367138    370205]
[466140    491411]
[367810    370144]
[290407    334361]
[332508    369388]
[347342    359748]
[361812    334253]
[394021    362598]
[454865    404399]
[376765    362235]
[313135    442012]
[425272    355690]
[421984    424558]
[395156    406238]
[324395    395578]
[326390    375072]
[339024    292832]
[467824    303916]
[373242    366716]
[360671    301929]
[501080    340264]
[387452    451636]
[304973    375939]
[253013    367502]
[388561    360701]
[375290    405889]
[412617    363899]
[373523    369671]
[324817    327043]
[355879    367275]
[373910    372099]
[461688    380355]
[389552    364317]
[331124    374003]
[331710    357775]
[374676    350427]
[408525    438348]
[376320    406191]
[348968    394895]
[317980    360723]
[399017    232563]
[383273    362667]
[375983    381506]
[438465    355843]
[450502    350007]
[412719    300938]
[377989    363748]
[393636    367995]
[324355    314273]
[366979    368389]
[347572    463463]
[395698    292724]
[405175    324722]
[377360    384411]
[278177    297016]
[407165    430397]
[366944    351900]
[260904    291618]
[405039    429061]
[295170    370846]
[368881    366476]
[370346    369359]
[278362    365039]
[389947    367026]
[391980    380927]
[384664    322498]
[440051    449016]
[439172    468159]
[393018    344794]
[399491    357165]
[472379    350021]
[416079    348321]
[356204    365988]
[389885    325700]
[377408    392397]
[447532    348993]
[428201    253998]
[371298    371999]
[383793    325400]
[318725    370134]
[341632    345178]
[396211    360488]
[378720    345448]
[386347    405070]
[415263    370619]
[427602    375287]
[379737    370237]
[459192    376748]
[357065    369228]
[380749    430001]
[371283    355546]
[378192    372464]
[423433    310694]
[357336    264834]
[317109    340240]
[289558    374472]
[306864    361644]
[351266    419827]
[372599    388065]
[422178    487831]
[356894    365368]
[425363    445783]
[353506    308300]
[436791    341829]
[364850    281141]
[358646    356180]
[376996    279269]
[314760    408261]
[457021    327044]
[335052    264541]
[339835    328913]
[332733    395354]
[350564    457296]
[401457    289902]
[383102    366976]
[308983    359863]
[377055    385019]
[392885    378233]
[372260    356084]
[328727    342509]
[332002    311651]
[374397    352102]
[409373    460189]
[417408    357278]
[373599    365225]
[372401    349119]
[364108    331315]
[405288    263923]
[305239    371610]
[385831    384008]
[540052    459258]
[430428    375579]
[337156    343572]
[363898    477274]
[338458    327856]
[367206    369322]
[406289    387895]
[369921    411422]
[375413    365332]
[353288    364687]
[503656    295674]
[535981    316925]
[448009    266109]
[566626    199095]
[494774    258343]
[569751    225919]
[560239    239610]
[577537    168974]
[584802    352797]
[543093    219885]
[575227    195540]
[370335    274455]
[500332    249531]
[400364    350752]
[477588    298548]
[516152    247535]
[514980    324427]
[569069    172968]
[480263    278178]
[506817    219963]
[499148    339490]
[465333    249987]
[582402    259170]
[513900    216360]
[622682    212681]
[510351    229529]
[493349    351510]
[497326    215417]
[471971    286743]
[647465    342549]
[436503    314099]
[459642    281315]
[540428    221541]
[546966    152940]
[552151    338831]
[566027    240539]
[494568    226687]
[551545    205624]
[458038    262329]
[616289    263144]
[560509    369073]
[485477    306284]
[528860    187527]
[509395    228290]
[584729     58137]
[617668    195425]
[537131    223748]
[572024    170773]
