[688463    214985]
[666923    252636]
[646074    249033]
[624175    265335]
[714100    355941]
[674498    354582]
[696211    353616]
[596054    239950]
[629439    237952]
[673440    241375]
[734456    312515]
[644993    273397]
[653976    281532]
[684966    213338]
[631479    273719]
[658149    289877]
[626731    317069]
[684969    297515]
[604380    190747]
[632275    271768]
[664148    240496]
[683975    310796]
[680027    248362]
[630600    258361]
[666471    259694]
[650513    220572]
[620723    237286]
[723150    257638]
[659194    266921]
[663395    297373]
[660871    292999]
[747913    302559]
[614847    284635]
[599584    222177]
[678795    242731]
[702284    215255]
[616412    258536]
[670468    267843]
[669664    230903]
[705144    241394]
[737792    304290]
[708488    311592]
[667571    267667]
[733539    287228]
[650327    241997]
[682324    249272]
[743828    356001]
[657527    296695]
[600587    228975]
[708631    230654]
[674899    234973]
[662382    267113]
[670201    259972]
[672492    304387]
[666697    266064]
[704350    298092]
[642148    289857]
[603473    238763]
[661680    277856]
[619466    221587]
[643137    281637]
[673499    196306]
[752428    312711]
[609856    294051]
[695784    292822]
[723073    311568]
[703344    381804]
[660180    322622]
[680996    322887]
[680764    290107]
[670883    270735]
[581711    248428]
[670730    315486]
[605110    285368]
[685772    372554]
[659932    289255]
[710903    279046]
[630806    274878]
[731933    279752]
[628316    247101]
[608785    263281]
[797899    451805]
[658894    280665]
[653213    288433]
[656369    287733]
[640518    246368]
[748664    398591]
[656845    300884]
[664953    308488]
[664931    252288]
[647083    332283]
[618686    243397]
[649962    306549]
[665191    251077]
[665157    204118]
[647438    254788]
[703970    296468]
[670742    224788]
[672456    245032]
[666656    273722]
[667752    232055]
[667769    294394]
[674588    261912]
[708104    348954]
[692818    218910]
[621214    268460]
[649455    320938]
[663365    266434]
[662456    257274]
[676775    277266]
[664806    274607]
[740943    377670]
[661396    279211]
[682146    251605]
[672490    270266]
[660383    257188]
[674987    273547]
[641366    256711]
[710706    232920]
[587123    221404]
[625939    257289]
[722737    274124]
[645292    347995]
[649850    289235]
[685338    272341]
[689428    207018]
[654667    262585]
[366779    362552]
[369153    377540]
[331394    374545]
[415089    323845]
[374387    467347]
[372150    360565]
[381400    372713]
[363362    357737]
[373391    366768]
[490747    490256]
[438823    351777]
[375730    367365]
[340133    306647]
[353079    370415]
[464072    295596]
[381024    357923]
[329402    302590]
[380942    353321]
[392795    343750]
[257829    218194]
[374569    365985]
[403198    498720]
[357230    404473]
[246803    326711]
[290334    405761]
[376000    365059]
[358366    365018]
[365445    354858]
[295668    397077]
[376895    389905]
[338898    214739]
[259267    242284]
[361948    335620]
[362203    376036]
[426988    323512]
[409570    380858]
[385244    478818]
[517880    361774]
[449792    487242]
[379067    342401]
[331808    322091]
[442146    431920]
[341776    404176]
[459536    474594]
[375529    364284]
[402713    319996]
[395509    447521]
[398096    330059]
[383134    530023]
[375494    347443]
[391387    260798]
[419748    291210]
[343658    385291]
[328508    383282]
[361165    369305]
[350107    437601]
[334114    459509]
[367453    449121]
[377463    362968]
[272078    332587]
[347852    426689]
[372423    366077]
[291378    388011]
[398243    379108]
[452884    266505]
[376171    415108]
[310059    360303]
[391853    400362]
[375163    372828]
[358710    441099]
[395013    296572]
[343413    351242]
[403307    501717]
[361325    338266]
[313822    374342]
[367859    331806]
[366945    375577]
[299617    413410]
[371215    304670]
[250589    310946]
[275723    395671]
[315068    269536]
[443799    403413]
[380108    367122]
[376624    414923]
[329094    307415]
[390827    296881]
[395860    365007]
[408419    253107]
[398863    449884]
[240765    417999]
[362766    353777]
[426627    379815]
[356485    410806]
[368997    302032]
[426597    361774]
[424153    358241]
[420173    329986]
[333164    384971]
[363545    309601]
[393034    419881]
[280542    311467]
[441001    369628]
[393915    426104]
[431183    399344]
[385928    379903]
[359574    466019]
[395958    250566]
[308509    378193]
[320443    325357]
[424340    393920]
[356168    364527]
[326210    315984]
[374311    377754]
[374991    251967]
[290922    384922]
[363056    488628]
[370668    258631]
[395980    460168]
[311904    380521]
[305680    302023]
[435235    378134]
[402960    358061]
[310439    281816]
[387085    361305]
[366873    281190]
[517718    402041]
[587312    465862]
[376789    400661]
[371418    367243]
