[549643    296479]
[482375    344287]
[392826    143091]
[620514    294905]
[613367    265499]
[561324    272806]
[634361    276460]
[518284    296575]
[526572    291968]
[512400    338371]
[498955    289386]
[395828    212070]
[603534    307230]
[539678    317944]
[547744    217903]
[341390    170749]
[434482    302028]
[536941    231171]
[570112    307256]
[397352    412982]
[533388    296437]
[476472    299120]
[536378    328570]
[519545    369431]
[530046    284310]
[404084    407720]
[528127    275458]
[535946    315189]
[638697    306716]
[547681    233013]
[582388    313000]
[389787    197861]
[514456    289348]
[551915    293823]
[558960    300689]
[523353    319429]
[530333    265270]
[536205    287798]
[483126    342645]
[585377    333764]
[579703    136583]
[447325    349219]
[514185    337302]
[548084    202488]
[543529    264577]
[605608    280993]
[532875    295207]
[506041    304669]
[619241    320947]
[512187    407952]
[478925    281896]
[551123    183877]
[563506    245901]
[537664    222608]
[561522    313998]
[510526    325725]
[549070    227118]
[514531    247092]
[600756    309087]
[602230    126147]
[466134    455217]
[508505    430546]
[520792    293439]
[492250    403947]
[567156    323051]
[610479    314538]
[537582    246686]
[529866    275459]
[518398    389173]
[439219    305769]
[755752    335311]
[553330    320394]
[533907    289515]
[546979    299981]
[520972    294834]
[480845    384812]
[617386    266256]
[548048    274321]
[387690    265578]
[393136    302875]
[533757    290880]
[536245    220478]
[528593    294072]
[647942    395074]
[515797    448174]
[410194    277834]
[476695    382107]
[564312    205721]
[549342    411309]
[582131    300010]
[597907    260427]
[508117    391045]
[464185    286487]
[524685    310662]
[264404    357298]
[226420    347645]
[301584    484701]
[228386    347570]
[295514    442073]
[119237    315629]
[286222    376096]
[224557    357528]
[229653    346884]
[227940    242348]
[217536    361207]
[166298    217280]
[232238    349933]
[227348    356313]
[328889    352611]
[222327    347485]
[246709    316959]
[273073    299054]
[286106    362861]
[220529    365323]
[256074    309931]
[264793    360923]
[230190    416636]
[229642    338813]
[266563    324261]
[205058    372663]
[256929    337924]
[184645    349901]
[238926    337428]
[213790    219209]
[198162    444339]
[271332    203534]
[254057    272621]
[236011    350191]
[223050    397693]
[196320    258844]
[188508    371731]
[251640    310877]
[197098    390774]
[279201    307552]
[228641    346369]
[232463    207520]
[215408    353411]
[197699    325673]
[225535    347488]
[223118    344592]
[227260    372484]
[223804    319104]
[276373    320376]
[126293    462324]
[257723    338206]
[196419    397960]
[256655    386767]
[211767    347459]
[233935    408435]
[219433    343843]
[328489    362098]
[216764    336413]
[283787    345560]
[206122    342135]
[308641    318672]
[191063    340940]
[220477    215001]
[193117    355634]
[233582    339645]
[298790    307365]
[254772    325039]
[199139    246625]
[232101    364618]
[165557    344125]
[200291    350453]
[279004    377770]
[136579    426660]
[178574    341671]
[348964    261568]
[176375    310548]
[225146    343352]
[218900    394333]
[174178    346242]
[189209    368298]
[213526    351511]
[278332    369892]
[124967    374172]
[145106    356393]
[263702    349555]
[242357    281579]
[196507    302594]
[235398    256579]
[179703    329666]
[252133    336836]
[212100    345133]
