[838334    454336]
[789159    547308]
[783475    444834]
[768052    465358]
[858514    427300]
[674506    444164]
[737829    457994]
[818199    474399]
[774855    456933]
[766187    361542]
[794791    423525]
[779792    505850]
[749874    472359]
[793852    512313]
[832078    415861]
[753828    462142]
[776158    458536]
[784679    460236]
[753288    460147]
[770685    449122]
[708713    456075]
[741589    437529]
[773030    458539]
[713029    485369]
[659040    471754]
[769961    460597]
[275432    742643]
[329078    760382]
[323865    823966]
[369005    754831]
[354651    775173]
[338161    766092]
[401049    736863]
[363747    796555]
[270448    791644]
[422131    772606]
[365392    803201]
[287417    771006]
[350553    684674]
[303171    870927]
[412895    843165]
[234376    725515]
[366673    787763]
[299701    852324]
[426167    820418]
[350038    738622]
[359147    695151]
[340241    765381]
[341938    759511]
[422082    697705]
[378737    851075]
[311118    688674]
[380175    769543]
[340123    755191]
[363067    786920]
[278913    696329]
[404172    817083]
[336529    723224]
[335888    832790]
[301242    756400]
[312676    748595]
[324865    808220]
[399405    783596]
[343748    757276]
[302675    842773]
[380862    778022]
[299592    741551]
[313135    798499]
[300725    761968]
[368938    802272]
[322164    776942]
[199734    747143]
[378147    773517]
[365024    780330]
[285121    701373]
[313118    770036]
[385399    736998]
[321299    714734]
[204224    840549]
[378382    818283]
[356238    686312]
[379569    688741]
[378080    864492]
[383526    842464]
[362630    728629]
[340654    791614]
[390459    752118]
[353818    769467]
[247442    740079]
[286600    774434]
[270798    761123]
[364037    762429]
[339069    768150]
[341287    765609]
[346187    845148]
[307636    743357]
[351111    772788]
[287030    889381]
[281791    702540]
[369144    835018]
[331827    772972]
[381867    654942]
[328562    827191]
[323726    757545]
[403389    802374]
[321652    686774]
[333852    706461]
[339055    768351]
[217342    709135]
[308276    833346]
[326310    801638]
[368565    772596]
[352011    696750]
[378019    762181]
[366994    776741]
[325332    848811]
[379351    728500]
[388673    774578]
[309089    724287]
[327976    785379]
[323653    749974]
[339076    880938]
[337839    762190]
[452203    707339]
[326758    760317]
[329972    877567]
[369754    782968]
[349871    745707]
[284039    829987]
[338702    781652]
[415403    744129]
[458227    620044]
[210255    756948]
[325827    777597]
[369575    761064]
[384300    773739]
[272174    751083]
[382847    744056]
[327066    762819]
[343436    759686]
[395490    719173]
[279930    736996]
[314965    754780]
[405310    791720]
