[682875    748848]
[585556    691221]
[651752    692792]
[644749    747914]
[616956    804144]
[624555    778074]
[593006    794799]
[553654    845374]
[607614    766597]
[594125    779499]
[622335    748674]
[591505    789512]
[639420    717000]
[606839    747350]
[610525    772504]
[616248    784467]
[597852    777787]
[614072    774948]
[532891    760640]
[593052    795629]
[648097    808969]
[591128    786515]
[636129    761048]
[598666    773636]
[568476    700454]
[600673    779334]
[653709    848123]
[575155    782074]
[592978    833774]
[620431    729615]
[552564    795617]
[657316    780021]
[567376    561426]
[533059    665299]
[581171    812634]
[521573    644245]
[616521    743387]
[597396    753138]
[644401    689002]
[616892    781848]
[510756    791892]
[634018    789783]
[553666    786833]
[597177    811842]
[497835    707247]
[674033    775030]
[596488    796024]
[616118    772027]
[602714    813432]
[606892    774425]
[633397    809821]
[546051    728072]
[609375    766652]
[630346    775969]
[570930    748958]
[621584    806402]
[618440    776592]
[517419    748044]
[552438    752074]
[619494    763453]
[598523    779140]
[615227    865032]
[588508    782677]
[613860    821095]
[569758    824609]
[638737    791146]
[668172    826655]
[561347    783806]
[606782    770787]
[514507    778070]
[652690    728356]
[666290    757320]
[625823    661565]
[620252    738540]
[567614    688137]
[521036    741029]
[601271    618209]
[575149    752638]
[585270    745011]
[657268    718557]
[619506    835052]
[663196    865287]
[599196    789536]
[561064    783504]
[644752    747220]
[606538    751156]
[646240    789580]
[575624    663013]
[699211    829307]
[646791    686056]
[593801    658395]
[607482    761676]
[672001    773781]
[602502    784937]
[629685    616560]
[578423    744283]
[692632    748158]
[626173    761921]
[654336    834489]
[599000    699584]
[660727    689449]
[522641    729742]
[670301    904186]
[579444    685389]
[604753    811135]
[578356    829602]
[638320    719634]
[605871    809984]
[634733    778000]
[626759    719233]
[614445    835304]
[672434    864542]
[679692    751659]
[602378    771080]
[586320    749805]
[568614    787974]
[574269    742996]
[633567    633826]
[572797    758315]
[588816    815431]
[607225    740228]
[537005    607915]
[697705    873508]
[550726    797298]
[653511    784597]
[681221    780669]
[590933    766660]
[579416    760667]
[583483    867368]
[586805    808559]
[603735    773559]
[629236    781842]
[611636    749452]
[698197    845952]
[623039    771651]
[698395    840754]
[574385    769755]
[677989    761037]
[628712    738856]
[571918    789110]
[615917    779046]
[593246    780664]
[576028    782142]
[603322    693121]
[600446    730114]
[585687    797464]
[536299    683014]
[611948    763405]
[660407    673645]
[624748    729779]
[598405    772870]
[607098    770769]
[625137    740686]
[587884    742783]
[590734    739755]
[575366    763538]
[475201    630876]
[644639    715683]
[606158    745322]
[622486    742237]
[605132    616876]
[655432    793959]
[613568    771645]
[526345    748079]
[547337    789529]
[632973    750923]
[643661    771031]
[552078    775224]
[599156    768513]
[566995    758953]
[603379    881232]
[567832    717150]
[617623    772572]
[713847    829946]
[593038    751003]
[579517    807643]
[662811    844008]
[613890    791915]
[631952    668045]
[632639    779056]
[587978    774237]
[543106    698050]
[696326    816366]
[535115    804940]
[605802    768295]
[599989    785063]
[595434    816330]
[613214    747615]
[607564    764526]
[615067    783515]
[652748    803976]
[603988    767132]
[606223    766991]
[575621    762906]
[849317    719764]
[829855    669176]
[817648    617138]
[800495    663237]
[763207    654474]
[736815    630833]
[822530    604914]
[701408    712045]
[757886    677887]
[762728    650165]
[778082    707191]
[849867    702894]
[774455    648735]
[782238    691958]
[768275    647277]
[763447    647606]
[776282    648211]
[702686    626338]
[784430    601665]
[781372    624447]
[808646    643727]
[730073    651354]
[737597    613150]
[749640    681722]
[804058    669239]
[758426    654991]
[772878    634632]
[744601    532467]
[774043    648510]
[919556    657168]
[878485    658352]
[749123    699895]
[696855    615517]
[688832    624587]
[841542    661498]
[770235    643385]
[778598    648318]
[675090    705321]
[810212    608659]
[804568    546931]
[850566    683607]
[793623    660669]
[801470    504353]
[920970    539943]
[777746    650179]
[743884    687353]
[816804    600040]
[686663    763910]
[727282    639016]
[646127    685811]
[882530    693750]
[794595    710008]
[771044    552098]
[782786    638430]
[776791    646891]
[756310    641197]
[811518    616204]
[747841    694744]
[633150    679186]
[791060    639338]
[755889    710618]
[787915    645862]
[741562    710446]
[806512    674130]
[815879    723640]
[728550    568546]
[737628    623871]
[764200    642757]
[743135    734504]
[730226    604219]
[673297    655332]
[793478    691850]
[769288    665551]
[812389    616359]
[757014    669079]
[706107    626154]
[803980    635168]
[852134    622979]
[765385    667362]
[742476    649704]
[773627    678481]
[800445    618896]
[776565    618982]
[791694    566240]
[795140    638467]
[687674    623722]
[696477    767869]
[768355    622927]
[747659    607700]
[783889    713185]
[776828    654056]
[877584    760480]
[769977    665312]
[772467    630518]
[723582    696257]
[847324    586198]
[714791    616452]
[667443    631167]
[633823    619819]
[834695    676173]
[737341    627886]
[723614    741808]
[766372    612371]
[851508    669500]
[785929    656773]
[822572    638495]
[614509    650054]
[719599    665667]
[725531    625837]
[770655    644621]
[796575    627481]
[719632    605620]
[692370    605397]
[746431    639285]
[849497    774264]
[777173    646377]
[781044    645822]
[777017    671668]
[690376    623311]
[818135    695958]
[756054    625045]
[804560    634463]
[785691    624989]
[771110    618493]
[856224    775842]
[777415    669022]
[826358    576991]
[702288    615674]
[871868    737534]
[863421    556163]
[734216    715875]
[820620    544991]
[758492    639932]
[834825    652349]
[656469    645658]
[642131    761618]
[798095    624052]
[780801    616099]
[790392    639088]
[838637    662843]
[705359    637490]
[746139    696194]
[753568    654932]
[823913    717175]
[849500    686036]
[816956    648508]
[838684    566369]
[828071    553924]
[880349    744851]
[755890    650952]
[769689    642051]
[767411    684641]
[845662    668669]
[704243    667822]
[773147    641825]
[791589    633439]
[743797    728671]
[763866    557826]
[775244    648869]
[783557    664250]
[754845    661259]
[769471    622717]
[846837    648045]
[793059    662047]
[743228    606935]
[801654    665379]
[758832    644935]
[794345    642700]
[793329    623239]
[767806    648815]
[800441    630292]
[776017    629009]
[773559    642912]
[765558    580027]
[760667    619479]
[769685    634898]
[785351    664410]
[818622    587545]
[689938    754232]
[751261    769046]
[771059    652993]
[796078    637676]
[771438    704518]
[809744    577267]
[730484    714449]
[791234    556725]
[772313    636787]
[756892    616333]
[693034    612542]
[733624    709082]
