[223059    671746]
[182857    737701]
[423758    695173]
[319037    717022]
[272612    637635]
[302593    696164]
[301289    697255]
[340176    691290]
[301423    696932]
[269774    786648]
[195108    681672]
[298935    670226]
[310043    795304]
[333533    635169]
[426326    733714]
[316583    691734]
[323812    738888]
[184474    672822]
[261698    699422]
[298959    742981]
[278130    681852]
[89604    711268]
[461411    808686]
[386150    700336]
[306813    508848]
[343270    788624]
[254266    563184]
[221257    683381]
[236193    657804]
[305311    547670]
[325404    749697]
[305675    695663]
[234323    590306]
[278285    766785]
[333181    827635]
[310860    682650]
[379268    814910]
[216187    733832]
[255081    562711]
[221833    769105]
[129640    884633]
[298929    666345]
[288914    733451]
[298288    662068]
[336208    747257]
[257260    644183]
[219122    686497]
[256223    566418]
[332173    749569]
[279044    697263]
[372608    716870]
[279062    689829]
[217166    843856]
[313338    727518]
[289905    820948]
[280555    680463]
[327824    620133]
[313999    801106]
[470379    544948]
[316065    796247]
[314665    670429]
[326880    737321]
[318119    673245]
[375031    597847]
[340444    724791]
[112396    741755]
[292787    695293]
[264135    635170]
[228355    583135]
[327427    657950]
[281909    694077]
[340641    618502]
[302992    783929]
[261605    622020]
[308884    703127]
[304500    588762]
[301556    642926]
[224858    807983]
[279515    617056]
[358851    708462]
[115401    744137]
[278267    692206]
[208702    671654]
[403432    795471]
[299778    680989]
[287574    546556]
[299755    675601]
[264783    728023]
[383654    611045]
[234506    764510]
[306197    670713]
[370443    654541]
[338403    771457]
[438616    601102]
[267318    679931]
[228642    788724]
[500824    652101]
[213842    692973]
[192836    648358]
[326129    821426]
[343932    724899]
[286532    513787]
[409264    781148]
[299657    693101]
[251849    548783]
[242142    692101]
[305206    702761]
[292531    656755]
[236864    671810]
[276544    768353]
[321631    632272]
[301620    716356]
[293539    671908]
[308117    740467]
[268889    886754]
[450198    671650]
[474639    808388]
[310168    735937]
[306114    579135]
[296474    688624]
[293176    687393]
[267935    658051]
[317528    569545]
[404854    628067]
[167462    739217]
[313436    638034]
[314521    830133]
[123131    598832]
[300174    705003]
[387423    745425]
[375555    736221]
[312647    700813]
[307671    666744]
[284404    780072]
[127621    744674]
[164798    675178]
[241192    694581]
[161562    624979]
[306397    692178]
[355914    617956]
[480340    753328]
[105551    615832]
[318130    662677]
[296294    706268]
[300777    698526]
[213659    538749]
[361449    666407]
[282983    762833]
[363500    627785]
[310342    697557]
[322064    661855]
[317266    689739]
[414173    576224]
[373783    522502]
[299009    683607]
[122269    693718]
[290251    628343]
[501954    511868]
[241183    860086]
[313365    650658]
[384155    681794]
[357075    730980]
[405179    696518]
[277759    782826]
[251175    650036]
[313862    698344]
